x,y,z,name,long_desc,ex_n,ex_s,ex_e,ex_w,ex_ne,ex_nw,ex_se,ex_sw,ex_u,ex_d,px,py,pz,portal_command,portal_text
215,245,51,Room 1830,Room 1830 at voxel (21524551). Connected to nearby rooms.,0,0,1,0,0,0,1,0,0,0,,,,,
215,247,51,Room 1832,Room 1832 at voxel (21524751). Connected to nearby rooms.,0,0,1,0,1,0,0,0,0,0,,,,,
216,245,51,Room 1831,Room 1831 at voxel (21624551). Connected to nearby rooms.,0,1,1,1,0,0,1,0,0,0,,,,,
216,246,51,Room 1829,Room 1829 at voxel (21624651). Connected to nearby rooms.,1,1,1,0,1,1,1,1,0,0,,,,,
216,247,51,Room 1835,Room 1835 at voxel (21624751). Connected to nearby rooms.,1,0,1,1,1,0,0,0,0,0,,,,,
216,251,51,Room 1849,Room 1849 at voxel (21625151). Connected to nearby rooms.,0,0,0,0,1,0,1,0,0,0,,,,,
216,272,51,Room 1992,Room 1992 at voxel (21627251). Connected to nearby rooms.,0,1,0,0,1,0,1,0,0,0,,,,,
216,273,51,Room 1999,Room 1999 at voxel (21627351). Connected to nearby rooms.,1,1,1,0,0,0,0,0,0,0,,,,,
216,274,51,Room 2000,Room 2000 at voxel (21627451). Connected to nearby rooms.,1,0,0,0,1,0,0,0,0,0,,,,,
217,245,51,Room 1833,Room 1833 at voxel (21724551). Connected to nearby rooms.,0,1,0,1,0,0,0,1,0,0,,,,,
217,246,51,Room 1834,Room 1834 at voxel (21724651). Connected to nearby rooms.,1,1,0,1,0,1,1,1,0,0,,,,,
217,247,51,Room 1828,Room 1828 at voxel (21724751). Connected to nearby rooms.,1,0,1,1,0,1,1,0,0,0,,,,,
217,250,51,Room 1850,Room 1850 at voxel (21725051). Connected to nearby rooms.,0,0,0,0,0,0,1,1,0,0,,,,,
217,252,51,Room 1848,Room 1848 at voxel (21725251). Connected to nearby rooms.,0,0,0,0,1,1,1,0,0,0,,,,,
217,270,51,Room 1996,Room 1996 at voxel (21727051). Connected to nearby rooms.,0,1,1,0,0,0,1,0,0,0,,,,,
217,271,51,Room 1997,Room 1997 at voxel (21727151). Connected to nearby rooms.,1,0,1,0,1,0,1,1,0,0,,,,,
217,273,51,Room 1991,Room 1991 at voxel (21727351). Connected to nearby rooms.,0,0,1,1,1,1,1,1,0,0,,,,,
217,276,51,Room 1977,Room 1977 at voxel (21727651). Connected to nearby rooms.,0,1,0,0,1,0,1,0,0,0,,,,,
217,277,51,Room 1976,Room 1976 at voxel (21727751). Connected to nearby rooms.,1,0,1,0,0,0,1,0,0,0,,,,,
218,247,51,Room 1827,Room 1827 at voxel (21824751). Connected to nearby rooms.,0,1,1,1,1,1,1,0,0,0,,,,,
218,248,51,Room 1836,Room 1836 at voxel (21824851). Connected to nearby rooms.,1,0,1,0,1,1,1,0,0,0,,,,,
218,251,51,Room 1851,Room 1851 at voxel (21825151). Connected to nearby rooms.,0,0,0,0,1,1,0,1,0,0,,,,,
218,253,51,Room 1847,Room 1847 at voxel (21825351). Connected to nearby rooms.,0,1,0,0,0,1,1,0,0,0,,,,,
218,254,51,Room 1846,Room 1846 at voxel (21825451). Connected to nearby rooms.,1,1,1,0,0,0,1,0,0,0,,,,,
218,255,51,Room 1801,Room 1801 at voxel (21825551). Connected to nearby rooms.,1,1,1,0,1,0,1,0,0,0,,,,,
218,256,51,Room 1802,Room 1802 at voxel (21825651). Connected to nearby rooms.,1,0,1,0,1,0,0,0,0,0,,,,,
218,270,51,Room 1995,Room 1995 at voxel (21827051). Connected to nearby rooms.,0,1,0,1,0,0,1,1,0,0,,,,,
218,271,51,Room 1998,Room 1998 at voxel (21827151). Connected to nearby rooms.,1,1,1,1,0,1,0,0,0,0,,,,,
218,272,51,Room 1993,Room 1993 at voxel (21827251). Connected to nearby rooms.,1,1,0,0,1,1,1,1,0,0,,,,,
218,273,51,Room 1989,Room 1989 at voxel (21827351). Connected to nearby rooms.,1,1,1,1,0,0,1,0,0,0,,,,,
218,274,51,Room 1990,Room 1990 at voxel (21827451). Connected to nearby rooms.,1,1,1,0,1,1,0,0,0,0,,,,,
218,275,51,Room 1978,Room 1978 at voxel (21827551). Connected to nearby rooms.,1,0,0,0,1,0,0,1,0,0,,,,,
218,277,51,Room 1972,Room 1972 at voxel (21827751). Connected to nearby rooms.,0,1,1,1,0,1,1,0,0,0,,,,,
218,278,51,Room 1975,Room 1975 at voxel (21827851). Connected to nearby rooms.,1,1,1,0,1,1,0,0,0,0,,,,,
218,279,51,Room 1974,Room 1974 at voxel (21827951). Connected to nearby rooms.,1,0,0,0,1,0,0,0,0,0,,,,,
219,246,51,Room 1824,Room 1824 at voxel (21924651). Connected to nearby rooms.,0,1,1,0,1,0,1,1,0,0,,,,,
219,247,51,Room 1826,Room 1826 at voxel (21924751). Connected to nearby rooms.,1,1,1,1,1,0,1,1,0,0,,,,,
219,248,51,Room 1837,Room 1837 at voxel (21924851). Connected to nearby rooms.,1,1,1,1,1,1,1,0,0,0,,,,,
219,249,51,Room 1839,Room 1839 at voxel (21924951). Connected to nearby rooms.,1,1,1,0,1,1,1,0,0,0,,,,,
219,250,51,Room 1852,Room 1852 at voxel (21925051). Connected to nearby rooms.,1,0,1,0,1,0,0,1,0,0,,,,,
219,254,51,Room 1786,Room 1786 at voxel (21925451). Connected to nearby rooms.,0,1,1,1,1,1,1,1,0,0,,,,,
219,255,51,Room 1791,Room 1791 at voxel (21925551). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
219,256,51,Room 1800,Room 1800 at voxel (21925651). Connected to nearby rooms.,1,0,1,1,1,1,1,0,0,0,,,,,
219,271,51,Room 1994,Room 1994 at voxel (21927151). Connected to nearby rooms.,0,0,0,1,0,1,1,1,0,0,,,,,
219,273,51,Room 1980,Room 1980 at voxel (21927351). Connected to nearby rooms.,0,1,1,1,1,1,0,1,0,0,,,,,
219,274,51,Room 1979,Room 1979 at voxel (21927451). Connected to nearby rooms.,1,0,0,1,1,1,0,1,0,0,,,,,
219,277,51,Room 1971,Room 1971 at voxel (21927751). Connected to nearby rooms.,0,1,1,1,1,0,1,1,0,0,,,,,
219,278,51,Room 1973,Room 1973 at voxel (21927851). Connected to nearby rooms.,1,0,1,1,1,1,0,1,0,0,,,,,
220,245,51,Room 1825,Room 1825 at voxel (22024551). Connected to nearby rooms.,0,1,1,0,0,0,1,1,0,0,,,,,
220,246,51,Room 1821,Room 1821 at voxel (22024651). Connected to nearby rooms.,1,1,1,1,1,0,1,1,0,0,,,,,
220,247,51,Room 1819,Room 1819 at voxel (22024751). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
220,248,51,Room 1838,Room 1838 at voxel (22024851). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
220,249,51,Room 1853,Room 1853 at voxel (22024951). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
220,250,51,Room 1840,Room 1840 at voxel (22025051). Connected to nearby rooms.,1,0,1,1,1,1,1,0,0,0,,,,,
220,252,51,Room 1793,Room 1793 at voxel (22025251). Connected to nearby rooms.,0,1,1,0,1,0,1,0,0,0,,,,,
220,253,51,Room 1787,Room 1787 at voxel (22025351). Connected to nearby rooms.,1,1,1,0,1,0,1,1,0,0,,,,,
220,254,51,Room 1790,Room 1790 at voxel (22025451). Connected to nearby rooms.,1,1,1,1,1,0,1,1,0,0,,,,,
220,255,51,Room 1785,Room 1785 at voxel (22025551). Connected to nearby rooms.,1,1,1,1,1,1,0,1,0,0,,,,,
220,256,51,Room 1799,Room 1799 at voxel (22025651). Connected to nearby rooms.,1,1,0,1,1,1,0,0,0,0,,,,,
220,257,51,Room 1803,Room 1803 at voxel (22025751). Connected to nearby rooms.,1,1,0,0,0,1,0,0,0,0,,,,,
220,258,51,Room 1804,Room 1804 at voxel (22025851). Connected to nearby rooms.,1,0,0,0,0,0,1,0,0,0,,,,,
220,272,51,Room 1988,Room 1988 at voxel (22027251). Connected to nearby rooms.,0,1,1,0,0,1,0,1,0,0,,,,,
220,273,51,Room 1981,Room 1981 at voxel (22027351). Connected to nearby rooms.,1,0,0,1,1,0,1,1,0,0,,,,,
220,276,51,Room 1970,Room 1970 at voxel (22027651). Connected to nearby rooms.,0,1,1,0,1,0,1,1,0,0,,,,,
220,277,51,Room 1967,Room 1967 at voxel (22027751). Connected to nearby rooms.,1,1,1,1,1,0,1,1,0,0,,,,,
220,278,51,Room 1968,Room 1968 at voxel (22027851). Connected to nearby rooms.,1,0,1,1,1,1,0,0,0,0,,,,,
221,245,51,Room 1822,Room 1822 at voxel (22124551). Connected to nearby rooms.,0,1,0,1,0,0,1,1,0,0,,,,,
221,246,51,Room 1820,Room 1820 at voxel (22124651). Connected to nearby rooms.,1,1,1,1,0,1,0,1,0,0,,,,,
221,247,51,Room 1818,Room 1818 at voxel (22124751). Connected to nearby rooms.,1,1,0,1,1,1,1,1,0,0,,,,,
221,248,51,Room 1816,Room 1816 at voxel (22124851). Connected to nearby rooms.,1,1,1,1,0,1,1,1,0,0,,,,,
221,249,51,Room 1842,Room 1842 at voxel (22124951). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
221,250,51,Room 1841,Room 1841 at voxel (22125051). Connected to nearby rooms.,1,1,1,1,1,1,1,0,0,0,,,,,
221,251,51,Room 1797,Room 1797 at voxel (22125151). Connected to nearby rooms.,1,1,1,0,1,1,1,1,0,0,,,,,
221,252,51,Room 1789,Room 1789 at voxel (22125251). Connected to nearby rooms.,1,1,1,1,1,0,0,1,0,0,,,,,
221,253,51,Room 1788,Room 1788 at voxel (22125351). Connected to nearby rooms.,1,1,0,1,1,1,1,1,0,0,,,,,
221,254,51,Room 1784,Room 1784 at voxel (22125451). Connected to nearby rooms.,1,1,1,1,0,1,1,1,0,0,,,,,
221,255,51,Room 1798,Room 1798 at voxel (22125551). Connected to nearby rooms.,1,0,1,1,1,1,1,1,0,0,,,,,
221,259,51,Room 1805,Room 1805 at voxel (22125951). Connected to nearby rooms.,0,0,1,0,0,1,0,0,0,0,,,,,
221,272,51,Room 1982,Room 1982 at voxel (22127251). Connected to nearby rooms.,0,0,0,1,1,0,1,1,0,0,,,,,
221,273,50,Room 579,Room 579 at voxel (22127350). Connected to nearby rooms.,0,1,1,0,1,0,1,0,0,0,,,,,
221,274,50,Room 571,Room 571 at voxel (22127450). Connected to nearby rooms.,1,1,1,0,1,0,1,0,1,0,,,,,
221,274,51,Room 1961,Room 1961 at voxel (22127451). Connected to nearby rooms.,0,1,1,0,1,1,1,0,0,1,,,,,
221,275,50,Room 569,Room 569 at voxel (22127550). Connected to nearby rooms.,1,0,1,0,1,0,0,0,1,0,,,,,
221,275,51,Room 1960,Room 1960 at voxel (22127551). Connected to nearby rooms.,1,1,1,0,1,0,1,1,0,1,,,,,
221,276,51,Room 1965,Room 1965 at voxel (22127651). Connected to nearby rooms.,1,1,1,1,1,0,1,1,0,0,,,,,
221,277,51,Room 1966,Room 1966 at voxel (22127751). Connected to nearby rooms.,1,1,1,1,1,1,0,1,0,0,,,,,
221,278,51,Room 1969,Room 1969 at voxel (22127851). Connected to nearby rooms.,1,0,0,1,1,1,0,0,0,0,,,,,
222,246,51,Room 1823,Room 1823 at voxel (22224651). Connected to nearby rooms.,0,0,0,1,0,1,0,1,0,0,,,,,
222,248,51,Room 1817,Room 1817 at voxel (22224851). Connected to nearby rooms.,0,1,1,1,0,1,0,1,0,0,,,,,
222,249,51,Room 1815,Room 1815 at voxel (22224951). Connected to nearby rooms.,1,1,0,1,1,1,1,1,0,0,,,,,
222,250,51,Room 1843,Room 1843 at voxel (22225051). Connected to nearby rooms.,1,1,1,1,0,1,1,1,0,0,,,,,
222,251,51,Room 1796,Room 1796 at voxel (22225151). Connected to nearby rooms.,1,1,1,1,1,1,1,1,0,0,,,,,
222,252,51,Room 1792,Room 1792 at voxel (22225251). Connected to nearby rooms.,1,0,1,1,1,1,1,1,0,0,,,,,
222,254,51,Room 1783,Room 1783 at voxel (22225451). Connected to nearby rooms.,0,1,1,1,1,1,1,1,0,0,,,,,
222,255,51,Room 1854,Room 1854 at voxel (22225551). Connected to nearby rooms.,1,1,1,1,1,1,0,0,0,0,,,,,
222,256,51,Room 1810,Room 1810 at voxel (22225651). Connected to nearby rooms.,1,1,0,0,1,1,1,0,0,0,,,,,
222,257,51,Room 1809,Room 1809 at voxel (22225751). Connected to nearby rooms.,1,0,1,0,0,0,1,0,0,0,,,,,
222,259,51,Room 1806,Room 1806 at voxel (22225951). Connected to nearby rooms.,0,0,0,1,1,0,0,0,0,0,,,,,
222,269,51,Room 1987,Room 1987 at voxel (22226951). Connected to nearby rooms.,0,0,1,0,0,0,1,0,0,0,,,,,
222,271,51,Room 1983,Room 1983 at voxel (22227151). Connected to nearby rooms.,0,0,0,0,1,0,0,1,0,0,,,,,
222,272,50,Room 576,Room 576 at voxel (22227250). Connected to nearby rooms.,0,1,1,0,1,0,1,1,0,0,,,,,
222,273,50,Room 572,Room 572 at voxel (22227350). Connected to nearby rooms.,1,1,1,1,1,0,1,1,1,0,,,,,
222,273,51,Room 1955,Room 1955 at voxel (22227351). Connected to nearby rooms.,0,1,0,0,0,1,1,1,0,1,,,,,
222,274,50,Room 570,Room 570 at voxel (22227450). Connected to nearby rooms.,1,1,1,1,1,1,1,1,1,0,,,,,
